71863 29 1972693768
13 509 538 1321
5 917 420 1334
21 1025 773 1347
97 304 399 1360
15 786 817 1373
70 24 1 1386
37 287 10 1398
78 277 183 1411
38 1049 978 1424
7 266 838 1437
13 963 643 1450
30 801 920 1463
82 78 1 1476
73 447 680 1488
16 125 183 1501
84 670 1010 1514
35 157 455 1527
36 113 235 1540
6 39 1352 1553
51 660 732 1565
50 610 483 1578
5 870 1354 1591
12 440 406 1604
56 229 265 1617
87 62 2 1630
56 1356 919 1642
63 1362 1 1655
5 445 776 1668
50 1165 586 1681
9 285 446 1694
38 976 727 1707
64 453 739 1719
2 552 636 1732
70 538 129 1745
62 52 645 1758
34 24 349 1771
38 604 1 1784
36 39 737 1797
69 475 1 1809
57 487 750 1822
45 1106 1453 1835
1 1072 388 1848
82 57 927 1861
33 127 314 1874
68 900 1 1886
24 353 1 1899
9 1178 352 1912
39 106 85 1925
48 1222 645 1938
67 35 1 1951
15 1449 680 1963
103 69 936 1976
9 276 876 1989
55 519 62 2002
18 390 177 2015
86 889 230 2028
24 690 249 2040
95 263 184 2053
85 1206 656 2066
13 197 502 2079
69 220 327 2092
90 489 1 2105
1 501 713 2118
4 875 673 2130
80 227 136 2143
48 30 1065 2156
71 1101 1 2169
34 120 1 2182
76 643 99 2195
79 81 192 2207
41 134 148 2220
90 1105 1060 2233
92 1286 1333 2246
40 1164 859 2259
41 1293 398 2272
64 61 47 2284
52 157 927 2297
57 1344 709 2310
103 198 429 2323
95 347 232 2336
96 938 613 2349
8 419 580 2361
38 1055 74 2374
87 1181 734 2387
91 290 48 2400
86 262 179 2413
54 1258 414 2426
37 30 1166 2439
11 263 496 2451
15 304 1 2464
32 840 290 2477
102 1027 30 2490
27 499 1 2503
17 1227 1 2516
26 183 1 2528
5 677 1935 2541
53 522 398 2554
34 263 143 2567
25 1108 1255 2580
50 952 706 2593
98 798 1451 2605
33 602 533 2618
72 884 1196 2631
48 659 290 2644
80 1426 527 2657
71 1221 1122 2670
85 168 1142 2682
61 711 738 2695
10 417 656 2708
31 126 477 2721
32 988 155 2734
13 137 373 2747
88 1392 596 2760
45 467 746 2772
64 203 1 2785
84 902 423 2798
34 96 624 2811
39 1157 768 2824
103 361 316 2837
27 680 561 2849
101 1008 349 2862
13 273 1093 2875
83 1428 348 2888
88 861 1181 2901
47 426 1276 2914
89 779 493 2926
104 107 18 2939
80 130 681 2952
93 395 516 2965
96 1337 796 2978
23 332 1 2991
49 745 617 3004
66 180 402 3016
25 242 1009 3029
12 847 765 3042
81 1028 87 3055
28 707 1 3068
36 94 587 3081
50 58 537 3093
52 877 1 3106
101 507 1 3119
71 285 1 3132
66 863 1135 3145
45 1151 186 3158
54 993 435 3170
70 200 1 3183
66 314 1 3196
86 630 606 3209
41 804 396 3222
96 369 80 3235
21 1024 99 3247
18 957 748 3260
73 3 286 3273
8 1187 160 3286
40 173 162 3299
45 1334 622 3312
39 364 1095 3325
48 466 208 3337
48 452 579 3350
24 528 630 3363
41 215 13 3376
101 833 1047 3389
66 1157 902 3402
96 560 1 3414
52 319 34 3427
18 359 129 3440
101 223 680 3453
51 140 900 3466
89 589 724 3479
13 302 1 3491
28 264 706 3504
95 614 630 3517
97 541 151 3530
47 153 40 3543
15 48 899 3556
97 457 381 3568
45 120 1437 3581
4 1345 539 3594
83 78 584 3607
59 224 1189 3620
12 533 599 3633
70 1242 1 3646
63 1363 173 3658
28 750 1 3671
83 1440 686 3684
77 1031 326 3697
84 1202 1 3710
97 59 178 3723
103 605 361 3735
18 1169 819 3748
75 637 344 3761
65 220 306 3774
12 1259 460 3787
60 1418 515 3800
40 1005 316 3812
15 193 453 3825
88 902 1 3838
60 613 496 3851
39 185 7 3864
65 1349 198 3877
57 30 963 3889
93 483 510 3902
85 642 1559 3915
76 614 302 3928
3 842 96 3941
5 281 349 3954
33 1050 662 3967
102 287 1071 3979
21 1045 1 3992
32 395 1 4005
28 1147 1418 4018
6 1408 431 4031
83 434 326 4044
77 148 237 4056
28 1021 996 4069
58 188 297 4082
81 1012 639 4095
46 625 838 4108
28 1173 1202 4121
31 855 856 4133
15 241 1113 4146
40 689 418 4159
58 587 836 4172
10 935 1 4185
7 1449 1 4198
92 595 239 4210
17 1128 336 4223
81 456 464 4236
88 1049 204 4249
55 978 1 4262
81 856 2 4275
97 63 196 4288
78 815 1 4300
65 456 119 4313
48 76 259 4326
13 1310 558 4339
68 416 508 4352
96 25 1292 4365
6 1316 1 4377
85 1331 121 4390
102 493 605 4403
36 211 670 4416
45 1255 514 4429
98 954 1 4442
41 979 1 4454
31 331 799 4467
97 768 1535 4480
12 1417 516 4493
46 936 1 4506
48 960 786 4519
93 458 618 4531
65 1110 593 4544
3 1181 663 4557
88 565 372 4570
54 160 599 4583
57 107 110 4596
16 30 737 4609
48 1376 558 4621
92 483 1 4634
73 807 424 4647
90 1402 43 4660
77 545 1 4673
60 986 278 4686
18 783 614 4698
26 1332 305 4711
74 837 138 4724
12 247 534 4737
22 22 201 4750
25 53 407 4763
82 351 697 4775
86 22 1330 4788
38 1033 99 4801
83 850 990 4814
4 1261 1107 4827
93 88 1 4840
84 48 375 4853
23 1408 699 4865
61 1274 528 4878
75 1041 487 4891
81 633 652 4904
17 287 670 4917
34 196 1 4930
27 251 340 4942
95 295 1018 4955
53 227 232 4968
4 8 277 4981
31 1271 728 4994
74 396 662 5007
72 19 457 5019
68 12 148 5032
28 1437 740 5045
42 1279 246 5058
88 219 1041 5071
5 285 1384 5084
67 605 109 5096
66 1016 373 5109
3 443 824 5122
70 741 813 5135
95 1406 569 5148
21 1029 321 5161
46 980 845 5174
104 930 1 5186
28 851 851 5199
34 1221 1492 5212
104 764 209 5225
98 64 245 5238
73 779 866 5251
18 1398 1 5263
13 806 1 5276
99 358 201 5289
99 73 380 5302
58 1047 1275 5315
53 960 1404 5328
59 925 159 5340
36 1188 34 5353
102 975 543 5366
66 718 552 5379
41 224 554 5392
55 132 1 5405
11 446 1015 5417
101 862 153 5430
24 1370 509 5443
86 1175 1 5456
76 1158 1 5469
104 946 899 5482
36 51 1 5495
37 1 840 5507
19 148 386 5520
18 588 578 5533
63 1344 1 5546
47 644 628 5559
32 366 1880 5572
71 29 572 5584
89 547 97 5597
59 68 734 5610
16 1057 1099 5623
25 712 89 5636
51 261 1010 5649
55 539 202 5661
30 52 790 5674
88 1128 1 5687
79 167 603 5700
66 99 1 5713
100 659 115 5726
20 1018 869 5738
44 1367 382 5751
91 676 551 5764
7 660 1049 5777
39 199 28 5790
65 1319 883 5803
94 609 838 5816
102 1067 1454 5828
102 473 1073 5841
82 693 431 5854
39 121 1 5867
82 902 42 5880
11 771 484 5893
12 110 1363 5905
100 6 473 5918
95 547 145 5931
54 468 359 5944
8 1117 849 5957
47 1209 612 5970
99 249 1 5982
36 1271 1 5995
18 1111 322 6008
59 750 983 6021
37 675 349 6034
99 390 738 6047
2 206 278 6059
36 487 243 6072
8 924 533 6085
73 1395 816 6098
44 1137 744 6111
91 1109 1 6124
44 1238 1397 6137
17 420 231 6149
36 64 640 6162
65 535 572 6175
7 11 760 6188
21 526 1 6201
10 1188 288 6214
75 961 1053 6226
27 223 336 6239
47 695 845 6252
76 1423 261 6265
72 1029 45 6278
8 141 1 6291
93 1187 301 6303
53 949 618 6316
47 1149 571 6329
1 1303 1145 6342
78 477 110 6355
62 227 1 6368
83 886 458 6380
51 1041 1 6393
38 711 238 6406
21 1168 1833 6419
92 1427 173 6432
15 815 111 6445
69 860 562 6458
64 91 1275 6470
6 179 1055 6483
72 315 256 6496
39 465 1 6509
78 1234 330 6522
29 1383 292 6535
29 340 641 6547
52 407 683 6560
54 882 1 6573
32 120 114 6586
2 875 52 6599
67 522 226 6612
36 580 936 6624
2 221 213 6637
71 1366 1 6650
4 59 1 6663
16 1151 909 6676
38 127 174 6689
30 969 639 6702
10 464 869 6714
88 356 1 6727
38 929 1 6740
1 152 553 6753
52 254 997 6766
75 1062 1 6779
52 57 476 6791
12 1099 1 6804
103 1273 687 6817
87 1084 300 6830
8 202 443 6843
79 132 820 6856
8 967 416 6868
52 499 568 6881
78 1184 411 6894
21 89 516 6907
73 1065 780 6920
27 915 248 6933
50 621 75 6945
24 432 1 6958
16 722 77 6971
11 19 1 6984
63 617 524 6997
67 465 330 7010
93 498 1 7023
97 696 162 7035
77 971 890 7048
17 727 627 7061
1 1285 946 7074
1 760 631 7087
17 618 1149 7100
51 718 1143 7112
5 1267 274 7125
20 308 1308 7138
94 1284 642 7151
94 497 294 7164
94 9 207 7177
61 1007 1046 7189
63 741 483 7202
98 387 623 7215
98 822 166 7228
97 1423 670 7241
72 592 491 7254
